# Tide data for Charlston station 8665530
# Downloaded from https://tidesandcurrents.noaa.gov on 17/03/2024
time,tide
2024-01-17 00:00:00,0.64
2024-01-17 00:06:00,0.72
2024-01-17 00:12:00,0.76
2024-01-17 00:18:00,0.79
2024-01-17 00:24:00,0.81
2024-01-17 00:30:00,0.84
2024-01-17 00:36:00,0.93
2024-01-17 00:42:00,1.03
2024-01-17 00:48:00,1.16
2024-01-17 00:54:00,1.33
2024-01-17 01:00:00,1.5
2024-01-17 01:06:00,1.65
2024-01-17 01:12:00,1.82
2024-01-17 01:18:00,1.96
2024-01-17 01:24:00,2.11
2024-01-17 01:30:00,2.23
2024-01-17 01:36:00,2.37
2024-01-17 01:42:00,2.55
2024-01-17 01:48:00,2.73
2024-01-17 01:54:00,2.87
2024-01-17 02:00:00,2.96
2024-01-17 02:06:00,3.11
2024-01-17 02:12:00,3.23
2024-01-17 02:18:00,3.38
2024-01-17 02:24:00,3.56
2024-01-17 02:30:00,3.73
2024-01-17 02:36:00,3.82
2024-01-17 02:42:00,3.9
2024-01-17 02:48:00,3.98
2024-01-17 02:54:00,4.04
2024-01-17 03:00:00,4.16
2024-01-17 03:06:00,4.27
2024-01-17 03:12:00,4.38
2024-01-17 03:18:00,4.51
2024-01-17 03:24:00,4.66
2024-01-17 03:30:00,4.8
2024-01-17 03:36:00,4.93
2024-01-17 03:42:00,5.02
2024-01-17 03:48:00,5.1
2024-01-17 03:54:00,5.18
2024-01-17 04:00:00,5.24
2024-01-17 04:06:00,5.3
2024-01-17 04:12:00,5.37
2024-01-17 04:18:00,5.39
2024-01-17 04:24:00,5.41
2024-01-17 04:30:00,5.42
2024-01-17 04:36:00,5.44
2024-01-17 04:42:00,5.46
2024-01-17 04:48:00,5.48
2024-01-17 04:54:00,5.52
2024-01-17 05:00:00,5.58
2024-01-17 05:06:00,5.63
2024-01-17 05:12:00,5.65
2024-01-17 05:18:00,5.68
2024-01-17 05:24:00,5.68
2024-01-17 05:30:00,5.67
2024-01-17 05:36:00,5.6
2024-01-17 05:42:00,5.57
2024-01-17 05:48:00,5.56
2024-01-17 05:54:00,5.58
2024-01-17 06:00:00,5.54
2024-01-17 06:06:00,5.46
2024-01-17 06:12:00,5.37
2024-01-17 06:18:00,5.3
2024-01-17 06:24:00,5.22
2024-01-17 06:30:00,5.16
2024-01-17 06:36:00,5.12
2024-01-17 06:42:00,5.06
2024-01-17 06:48:00,5.0
2024-01-17 06:54:00,4.93
2024-01-17 07:00:00,4.87
2024-01-17 07:06:00,4.8
2024-01-17 07:12:00,4.74
2024-01-17 07:18:00,4.59
2024-01-17 07:24:00,4.49
2024-01-17 07:30:00,4.39
2024-01-17 07:36:00,4.22
2024-01-17 07:42:00,4.12
2024-01-17 07:48:00,3.94
2024-01-17 07:54:00,3.84
2024-01-17 08:00:00,3.67
2024-01-17 08:06:00,3.57
2024-01-17 08:12:00,3.43
2024-01-17 08:18:00,3.35
2024-01-17 08:24:00,3.23
